City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,invercargill,-46.4,168.35,10.95,87,57,0.99,NZ,1686627893
1,qusmuryn,52.4503,64.6311,10.53,72,100,6.78,KZ,1686628084
2,albany,42.6001,-73.9662,19.94,81,100,0.89,US,1686628084
3,bredasdorp,-34.5322,20.0403,14.19,81,84,11.43,ZA,1686627889
4,pasuquin,18.3328,120.6177,29.97,79,75,9.26,PH,1686628085
5,port-aux-francais,-49.35,70.2167,6.24,88,100,13.96,TF,1686628085
6,blackmans bay,-43.0167,147.3167,13.18,76,100,3.58,AU,1686627887
7,avarua,-21.2078,-159.775,25.03,88,40,6.17,CK,1686627979
8,tolanaro,-25.0319,46.9987,17.04,94,20,1.03,MG,1686627972
9,stanley,54.868,-1.6985,10.5,91,100,1.54,GB,1686627762
10,alsfeld,50.75,9.2667,11.4,80,0,1.46,DE,1686628085
11,la sarre,48.8002,-79.1996,15.12,85,100,3.15,CA,1686628085
12,puerto ayora,-0.7393,-90.3518,26.42,93,72,2.68,EC,1686628085
13,adamstown,-25.066,-130.1015,20.58,62,50,3.08,PN,1686628085
14,hamilton,39.1834,-84.5333,13.8,80,0,2.06,US,1686627971
15,high rock,26.6208,-78.2833,26.01,77,92,5.22,BS,1686628086
16,bayganin,48.6947,55.8742,29.85,18,97,1.6,KZ,1686628086
17,chandler,33.3062,-111.8412,30.33,23,0,4.12,US,1686627824
18,de aar,-30.6497,24.0123,2.36,92,29,2.68,ZA,1686628086
19,sierra grande,-41.606,-65.3557,4.38,47,28,2.24,AR,1686628086
20,ribeira grande,38.5167,-28.7,19.32,97,8,1.79,PT,1686627902
21,itacoatiara,-3.1431,-58.4442,24.76,88,90,1.11,BR,1686627888
22,batie,9.8833,-2.9167,22.64,86,70,2.92,BF,1686628086
23,bhimunipatnam,17.8833,83.4333,33.73,50,48,4.37,IN,1686628086
24,isangel,-19.55,169.2667,26.06,69,100,2.06,VU,1686628086
25,waitangi,-43.9535,-176.5597,11.01,89,95,1.34,NZ,1686627965
26,kapa'a,22.0752,-159.319,27.99,81,40,6.17,US,1686627887
27,hermanus,-34.4187,19.2345,16.0,88,100,13.07,ZA,1686628087
28,petropavlovsk-kamchatsky,53.0452,158.6483,23.33,29,0,6.0,RU,1686628087
29,akureyri,65.6835,-18.0878,3.96,93,0,0.51,IS,1686628087
30,caleta de carquin,-11.0925,-77.6267,20.08,80,38,6.34,PE,1686628087
31,san jose del guaviare,2.5729,-72.6459,22.33,99,99,0.62,CO,1686628087
32,bilibino,68.0546,166.4372,4.56,94,100,4.71,RU,1686628087
33,vilyuchinsk,52.9306,158.4028,24.15,47,0,1.34,RU,1686628087
34,wenxing,28.6667,112.8833,27.8,65,95,1.7,CN,1686628087
35,newman,37.3138,-121.0208,26.19,55,51,3.52,US,1686628088
36,vorkuta,67.5,64.0,8.76,57,100,5.93,RU,1686627981
37,zhaqsy,51.9083,67.3133,12.47,66,92,9.36,KZ,1686628088
38,cabo san lucas,22.8909,-109.9124,30.17,28,0,3.09,MX,1686627977
39,saipan,15.1355,145.701,31.39,100,40,5.66,MP,1686627976
40,praia da vitoria,38.7333,-27.0667,18.14,94,20,2.27,PT,1686628021
41,bethel,41.3712,-73.414,19.17,89,100,3.09,US,1686628088
42,keflavik,64.0049,-22.5624,5.95,93,0,2.57,IS,1686628088
43,luderitz,-26.6481,15.1594,12.24,79,0,4.66,NA,1686628019
44,tubarjal,30.4999,38.216,24.21,39,0,1.79,SA,1686628088
45,howrah,22.5892,88.3103,32.0,79,40,3.6,IN,1686627914
46,longyearbyen,78.2186,15.6401,2.91,70,75,6.17,SJ,1686627982
47,papatowai,-46.5619,169.4708,10.77,85,26,2.23,NZ,1686627974
48,nuuk,64.1835,-51.7216,0.34,100,100,1.79,GL,1686628089
49,edinburgh of the seven seas,-37.0676,-12.3116,15.0,91,100,8.24,SH,1686627972
50,nelson bay,-32.7167,152.15,16.67,79,100,3.13,AU,1686628089
51,alaghsas,17.0187,8.0168,29.68,37,54,4.48,NE,1686627894
52,grytviken,-54.2811,-36.5092,-3.04,84,96,4.46,GS,1686627973
53,punta arenas,-53.15,-70.9167,5.06,75,40,7.72,CL,1686627974
54,puerto baquerizo moreno,-0.9,-89.6,25.93,82,26,5.25,EC,1686627746
55,prince george,53.9166,-122.753,27.69,28,75,3.09,CA,1686627987
56,nyurba,63.2842,118.3319,16.57,30,93,3.48,RU,1686628089
57,pitimbu,-7.4706,-34.8086,24.33,83,21,5.87,BR,1686628089
58,port blair,11.6667,92.75,30.02,84,75,4.63,IN,1686628090
